name,price,shop,commit
泊紫汀兰（Pozitilan）男士面霜50g 保湿补水滋润清爽控油收缩毛孔 擦脸油润肤乳液,49.90,泊紫汀兰（Pozitilan）京东自营旗舰店,2万+
维生素e乳北京协和身体乳八韵草维生素e乳液面霜男女润肤乳护手霜补水保湿嫩肤全身护体乳膏男士学生通用 八韵草维生素e乳按压款保湿滋养100ml 1瓶,15.90,完美生活加美妆专营店,2万+
自然堂雪域精粹滋润霜50g(面霜保湿霜女 锁水补水保湿滋润弹嫩提亮润泽 易吸收不黏腻 护肤品化妆品),126.00,自然堂京东自营旗舰店,50万+
美国进口 急救美人（First Aid Beauty）FAB面霜急护美人面霜套组两罐装（经典56.7g+葡萄柚56.7g）,155.00,FAB急救美人海外自营旗舰店,2万+
谷雨【李响同款】美白奶罐 光甘草美白修复面霜30g （补水保湿 ）,129.00,谷雨京东自营官方旗舰店,5万+
珂润（Curel）淡纹紧致滋养乳霜40g（日本花王 原装进口 紧致弹力 保湿滋润 敏感肌适合 男女适用）,242.00,珂润京东自营官方旗舰店,2万+
法国雅漾（Avene）修护舒缓保湿霜50ml*2（0号霜保湿霜 敏感肌温和 补水乳液 ),348.00,雅漾京东自营官方旗舰店,20万+
卡姿兰(Carslan)明星素颜霜(升级版)01#水润雪肌50g（懒人面霜 妆前隔离 保湿提亮） 生日礼物女,99.00,卡姿兰京东自营官方旗舰店,20万+
大宝 SOD蛋白霜50g（乳液女男 面霜 补水保湿霜 长效滋润 男女式 紧致肌肤 提亮肤色）,25.90,大宝京东自营旗舰店,100万+
男生一抹变帅神器！不只是素颜霜，更是保湿修复霜！,79.90,左颜右色旗舰店,10万+
线下同款美加净面霜 银耳珍珠滋养霜 补水保湿滋润日晚霜雪花膏乳液 国货护肤品男女通用 80g,19.50,美加净旗舰店,2000+
澳芝曼官方澳洲进口gm绵羊油绵羊脂滋润维E霜面霜 补水保湿清爽润养澳洲绵羊油不油腻全身男女可用 绵羊油250g*2 实惠组合装,69.00,澳芝曼G&M旗舰店,5000+
大宝 美容晚霜50g（保湿面霜 补水亮肤 夜间保湿滋养 提拉紧致肌肤 改善肤色）,24.90,大宝京东自营旗舰店,20万+
片仔癀皇后牌珍珠膏白金级臻养40g 紧致抗皱淡纹提亮肤色神经酰胺补水保湿修护,318.00,片仔癀旗舰店,2000+
海蓝之谜（LA MER）经典传奇面霜/洁面乳/修护精萃水精粹液 补水保湿滋润舒缓 精华60ml,1459.00,环球邮轮海外官方旗舰店,200+
赫恩男士美白面霜护肤品补水保湿霜乳液润肤露擦脸油护脸霜秋冬滋润化妆品男士护肤 美白霜50g,69.00,赫恩化妆品旗舰店,5万+
德国进口 妮维雅(NIVEA) 经典蓝罐润肤霜50ml/支 面霜擦脸油,29.00,妮维雅（NIVEA）海外京东自营旗舰店,5万+
隆力奇男士蛇胆SOD蜜90ml补水保湿滋润乳液面霜,8.90,隆力奇京东自营旗舰店,5万+
馥蕾诗（Fresh）红茶塑颜紧致面霜50ml（礼盒装 紧身衣面霜 紧致肌肤 补水保湿）,843.00,馥蕾诗（Fresh）京东自营专区,5万+
欧莱雅(LOREAL)男士劲能极润护肤霜 50ml(补水保湿 护肤面霜),120.00,欧莱雅男士京东自营官方旗舰店,300万+
自然堂(CHANDO)亮透水光素颜霜50g (女士面霜精华霜懒人霜补水保湿滋润提亮呵护舒缓肌肤干燥紧绷),152.00,自然堂京东自营旗舰店,50万+
莎娜（SANA）豆乳美肤乳液150ml（豆乳 保湿补水 护肤品）日本原装进口,95.00,莎娜SANA京东自营旗舰店,20万+
佰草集【太极·肌源】生物钟修护面霜 50g (补水保湿 淡化细纹 提拉紧致 提亮肤色 焕活肌肤),418.00,佰草集京东自营旗舰店,2万+
韩国进口自然乐园（NATURE REPUBLIC）芦荟胶自然共和国舒缓保湿凝胶补水晒后修复 罐装300ml,28.50,自然乐园亨东利专卖店,500+
百雀羚面霜女 护肤品保湿霜 肌初赋活抗皱菁华霜50g（抗皱润颜 饱满紧实）,209.00,百雀羚京东自营官方旗舰店,50万+
科颜氏（Kiehl's）明星高保湿2件套（爽肤水250ml+面霜50ml）水乳补水保湿男女通用化妆品护肤品套装礼盒,555.00,科颜氏Kiehl's京东自营官方旗舰店,10万+
ACWELL艾珂薇n4面霜舒缓修护4号清爽水份面霜(敏感肌专用保湿补水秋冬) N450ml 50g,148.00,艾珂薇旗舰店,2万+
林清轩山茶花修护滋养霜50ml面霜精华霜滋养清爽保湿干皮好吸收锁水护肤套装化妆品高保湿男女,557.00,林清轩京东自营旗舰店,1万+
韩束 精华霜面霜补水控油润肤保湿霜女 耀鲜养红石榴鲜活水盈护肤滋养霜50g,59.00,KANS韩束京东自营旗舰店,50万+
丸美面霜 保湿紧致面霜 护肤化妆品 日霜晚霜 弹力蛋白凝时紧致霜50g（ 提拉紧致 淡化细纹 改善粗糙黯沉 ）,253.00,丸美京东自营官方旗舰店,10万+
薇诺娜（WINONA） 舒敏保湿修红霜15g 改善泛红面霜 加厚角质层,34.00,薇诺娜官方旗舰店,5万+
肌研金极润紧致水霜礼盒（特浓紧致化妆水170ml+特浓紧致面霜50g）,149.00,肌研京东自营官方旗舰店,10万+
法国雅漾（Avene）修复霜40ml（大白霜保湿霜 修护敏感肌 面霜 舒缓泛红 皮尔法伯集团 原装进口）,129.00,雅漾京东自营官方旗舰店,10万+
雅诗兰黛鲜活亮采红石榴面霜晚霜50ml抗氧化补水保湿护肤品提亮肤色化妆品礼盒,650.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
玉兰油（OLAY）水润滋养滋润霜50g补水保湿面霜女,44.50,柔逸化妆品专营店,2000+
大宝 SOD蜜300ml带泵头（乳液女男 面霜 补水保湿 深层滋养 身体乳 润肤乳 温和低敏 ）,29.90,大宝京东自营旗舰店,300万+
安唯伊（Evereden）儿童面霜保湿锁水滋润护肤3-10岁专用多维营养50ml 闪光柚柚,249.00,Evereden海外京东自营旗舰店,5000+
ZOZU润肤乳保湿面霜擦抹脸油滋润保湿乳液护脸霜清爽控油细致毛孔润肤乳霜 男女士面部护理护肤化妆品,59.00,梵贞京东自营旗舰店,5万+
大宝sod蜜100ml200ml滋养手60g霜多规格 保湿补水面霜润肤霜身体乳男女士通用 SOD蜜200ml,18.90,大宝旗舰店,10万+
资生堂 水之印 五合一面霜2罐装 清爽啫喱凝露补水保湿乳液日本大红瓶晚霜修复抗初老护肤品 （红罐+金罐）日夜修护紧致弹润,248.00,资生堂海外旗舰店,2000+
韩束高保湿面霜女补水保湿润肤霜早晚护肤日霜 巨水光弹润精华霜 50ml,84.00,韩束洲美专卖店,5000+
瑷露德玛 芦荟胶鲜汁凝胶200g舒缓保湿晒后呵护祛痘淡化痘印免洗睡眠,99.00,瑷露德玛京东自营旗舰店,5万+
薇诺娜 高保湿修护面霜深层滋润水泵霜 干皮补水屏障国货护肤品高保湿舒缓屏障修护 50g,298.00,薇诺娜官方旗舰店,2000+
韩国进口 珂莱欧(CLIO) 果达儿晶彩焕亮素颜霜懒人面霜二代升级 50ml 补水保湿 提亮肤色,228.00,珂莱欧（CLIO）海外自营旗舰店,2万+
形象美美白祛斑霜 50g（补水保湿乳液美白祛斑精华提亮肤色去雀斑老年斑黄褐斑黑色素男女士护肤霜素颜）,69.00,形象美京东自营旗舰店,20万+
米蓓尔（MedRepair）轻龄紧致焕亮丝绒霜 面霜补水保湿淡化皱纹烟酰胺提亮乳液华熙生物敏感肌可用 55g,328.00,MedRepair米蓓尔官方旗舰店,1000+
希思黎（Sisley）全能乳液125ml（面霜 维稳保湿 护肤品）经典版限量版随机 精美礼盒 生日礼物 送女友送老婆,1499.00,希思黎（Sisley）京东自营专区,5万+
SK-II大红瓶面霜80g(经典版)护肤品套装化妆品礼盒sk2sk-ii(含神仙水+氨基酸洗面奶),1310.00,SK-II京东自营官方旗舰店,50万+
欧莱雅(LOREAL)男士锐能抗皱紧致护肤霜双支(多效霜50ml*2 赠:多效霜15ml*7 ) 护肤品男,239.00,欧莱雅男士京东自营官方旗舰店,50万+
线下同款玉兰油OLAY女 白里透红面霜美白霜 50g 补水保湿霜护肤滋润霜 美白润肤霜单支 50g,49.90,三采化妆品专营店,5000+
和风雨男士护肤面霜60g补水保湿乳液擦脸油润肤露护脸霜清爽控油护肤品,59.90,和风雨京东自营官方旗舰店,20万+
大宝维生素E乳300ml（泵头款）保湿滋润乳液润肤乳 男女面霜 身体乳,39.90,大宝京东自营旗舰店,5万+
理肤泉 新B5多效修复乳霜40ml*3支(B5修护霜 淡化印痕痘印 呵护受损肌肤 法国原装进口),252.00,理肤泉京东自营官方旗舰店,50万+
南京同仁堂美白祛斑霜去斑淡化斑点黄褐斑雀斑妊娠斑遗传斑日晒斑老年斑面霜男女 30g,99.00,乐家老铺南京同仁堂京东自营专区,5000+
珀莱雅 红宝石面霜女50g（滋润型）抗皱淡纹乳液面霜化妆品护肤品套装女 保湿霜补水水乳套装,279.00,珀莱雅京东自营官方旗舰店,5万+
韩国ACWELL艾珂薇n4面霜高保湿补水修护男女N4面霜限量套盒舒缓敏感肌保湿 N450ml/盒,84.00,笑百媚美妆护肤专营店,1000+
珀莱雅赋能鲜颜红宝石面霜六胜肽补水保湿紧致抗皱淡纹滋润护肤品面霜礼物送女友 【推荐】滋润版50g,299.00,珀莱雅官方旗舰店,2000+
馥蕾诗fresh玫瑰润泽密集保湿面霜 深层补水 持久保湿 舒缓肌肤节日礼物 50毫升,269.00,莎莎海外旗舰店,1000+
线下同款大宝美容日霜+晚霜套装50g补水保湿滋润面霜女早晚擦脸油 日霜+晚霜,36.90,大宝美妆旗舰店,1000+
资生堂 悦薇智感紧塑皙白霜50ml 丰润型（全新悦薇面霜 补水 保湿 护肤品）,1080.00,资生堂京东自营专区,10万+
兰蔻水份缘滋润舒缓凝霜50ml 化妆品护肤 面霜乳液女 冬季保湿滋养补水 缓解干燥紧绷泛红 礼盒,595.00,兰蔻京东自营官方旗舰店,50万+
大宝 雪肤活力霜50g（面霜女男 保湿霜 提亮肤色 补水保湿）,24.90,大宝京东自营旗舰店,100万+
悦木之源（Origins）灵芝焕能强韧乳100ml 韦博士水润保湿 乳液面霜 强韧维稳 化妆品护肤品礼盒,330.00,Origins悦木之源京东自营官方旗舰店,5万+
美肤宝 精萃透白精华霜50ml（面霜 美白祛斑 均匀肤色 清爽提亮肤色 白茶植萃 护肤化妆品学生）,81.00,美肤宝京东自营官方旗舰店,20万+
片仔癀 珍珠膏20g（滋养护肤补水保湿提亮修护皇后护肤品男女适用),92.00,片仔癀京东自营官方旗舰店,20万+
百雀羚面霜 水润深层保湿霜 保湿补水锁水滋润润肤日晚霜懒人霜擦脸霜官网 保湿霜50g+美容液15ml,55.00,百雀羚旗舰店,1万+
兰蔻水份缘滋润舒缓凝霜50ml 化妆品护肤 面霜乳液女 冬季保湿滋养补水 缓解干燥紧绷泛红 礼盒,595.00,兰蔻京东自营官方旗舰店,50万+
CCA 凡士林保湿面霜男士护肤补水乳液高保湿面霜润肤乳男女士擦脸油 凡士林烟酰胺臻养润肤膏250g，第2瓶10*元,35.00,御舒个护专营店,500+
贝德玛(BIODERMA) 面霜 舒妍舒缓修复霜40ml (改善泛红 舒缓修复 滋润肌肤 敏感肌适用) 法国进口乳液,149.00,贝德玛海外京东自营旗舰店,100万+
马油 马油面霜滋润补水保湿婴儿儿童成人敏感肌可用护手霜脚裂洗发水九朵全身日本云秋冬清爽马油皂马油膏 马油70g,59.00,春向暖美妆专营店,500+
自然堂（CHANDO）雪润皙白晶澈滋养霜50g 美白滋润修护面霜 补水保湿,149.00,自然堂官方旗舰店,5000+
线下同款大宝面霜男士 秋冬护肤品锁水保湿水润深透活肤霜50g学生面部护理乳液 深透活肤霜50g,32.90,大宝美妆旗舰店,1000+
大宝 美容日霜 50g+晚霜 50g（补水套装 面霜 补水保湿霜 男女可用 改善肤色 淡纹 ）,49.90,大宝京东自营旗舰店,20万+
HFP牛油果倍润特护霜 补水保湿面霜身体乳滋润霜化妆品护肤品男女可用插画联名款50g,219.00,HomeFacialPro京东自营旗舰店,2万+
MEDATURE 褒曼霜4号 面霜30ml 呵护屏障 维稳敏感肌肤舒缓肌肤 保湿乳液呵护肌肤屏障,320.00,MEDATURE京东自营旗舰店,1万+
温碧泉面霜女 盈润保湿精华霜50g 护肤霜补水保湿霜控油滋养日霜晚霜护肤化妆品女,83.00,温碧泉官方旗舰店,2000+
佰草集【白茶玲珑】唯润面霜 50g (长效保湿 提亮肤色 温和护肤 水润细腻 美妆控油护肤品）,139.00,佰草集京东自营旗舰店,2万+
海蓝之谜（LA MER）精华面霜 经典传奇面霜30ml （补水保湿 滋润修护）护肤礼物,1299.00,京东国际美妆自营跨境免税店,5万+
欧舒丹腊菊活颜紧致精华面霜50ml 饱满紧致 保湿补水女 面部护理,560.00,欧舒丹L'OCCITANE京东自营官方旗舰店,2万+
薇诺娜 舒敏保湿特护霜50g乳液面霜男女保湿霜滋润舒缓敏感肌修护屏障补水,268.00,薇诺娜官方旗舰店,5万+
蒂佳婷Dr.Jart+ V7素颜霜 一抹焕亮 水润保湿 改善暗沉 维生素面霜 懒人霜50g 男女补水保湿,320.00,蒂佳婷Dr.Jart+京东自营旗舰店,5万+
自然堂（CHANDO）雪松精油活颜御龄霜50g 面霜保湿霜护肤品女（补水保湿提拉紧致淡化细纹） 50g,288.00,自然堂官方旗舰店,2000+
相宜本草 百合高保湿修护霜面霜50g（精华补水 提亮肤色 细致毛孔）,126.00,相宜本草京东自营旗舰店,20万+
南京同仁堂美白祛斑霜 雀斑黄褐斑妊娠斑晒斑老年斑 保湿补水护肤素颜精华套装 一瓶装50g,115.00,吻序（WENXU）京东自营旗舰店,10万+
资生堂 CPB/肌肤之钥光采水霜护肤套装礼盒（湿润) 水170ml+日霜50ml+夜霜50ml 生日礼物,2129.00,肌肤之钥京东自营专区,5万+
薇诺娜 高保湿修护面霜深层滋润水泵霜 干皮补水屏障国货护肤品高保湿舒缓屏障修护 50g,298.00,薇诺娜官方旗舰店,2000+
【七仓配送】北京协和医院研制精心硅霜硅E乳护肤品保湿身体乳滋润 精心硅霜60g,23.00,惠百堂美妆护肤专营店,2万+
仁和药业维生素e乳3瓶 秋冬防干燥维e乳膏乳液面霜身体乳护手霜龟裂皲裂膏补水保湿嫩肤儿童老人男女全身通用,39.90,药都仁和美妆京东自营旗舰店,5万+
【实发3瓶】今天买，明天到】阿琪思芦荟胶300g淡化祛痘印补水舒缓晒后修护男女保湿面膜芦荟膏凝胶,29.00,阿琪思旗舰店,20万+
伊思（it's skin）蜗牛面霜女护肤品 （保湿补水 提拉紧致 提亮肤色） 红参60ml,269.00,It's skin伊思京东自营旗舰店 ,5000+
大宝 男士深透活肤霜50g（男士护肤品 面霜男 补水保湿 锁水控油平衡 男士润肤 ）,46.90,大宝京东自营旗舰店,20万+
大宝护肤面霜两瓶装 护肤品套装美容补水保湿男女士家用面霜 大宝美容日霜50g*2瓶,33.90,大宝旗舰店,2000+
PMPM千叶玫瑰神经酰胺舒缓修护屏障受损褪红嫩肤滋润面霜25g,119.00,PMPM京东自营旗舰店,1万+
韩束高保湿面霜女补水保湿润肤霜早晚护肤日霜 巨水光弹润精华霜水光素颜霜 高保湿精华霜50ml,89.00,洲美化妆品专营店,500+
大宝SOD蜜200ml 补水滋养男女面霜乳液护肤品冬季脸部润肤乳液 大宝SOD蜜200ml*2,31.90,大宝旗舰店,10万+
肌琳莎 （JILINSHA ）凡士林润肤乳保湿面霜乳液 （滋润补水 清爽不油全身可用）男女生面部护肤化妆品,29.00,梵贞京东自营旗舰店,5万+
